"id","slownik_id","typ","haslo_id","komentarz"
736,2099,instytucja,720,
737,2010,instytucja,721,
738,1984,instytucja,722,
739,2438,instytucja,723,
740,2021,instytucja,724,
741,2080,instytucja,725,
742,20880,miejsce,668,
743,9781,miejsce,726,
744,2080,instytucja,726,
745,2035,instytucja,728,
746,2439,instytucja,729,
749,2440,instytucja,730,
750,2100,instytucja,731,
751,2039,instytucja,732,
752,2094,instytucja,733,
753,1988,instytucja,734,
754,2441,instytucja,735,
755,2000,instytucja,736,
756,1981,instytucja,737,
757,2048,instytucja,738,
758,2430,instytucja,740,
759,2431,instytucja,740,
761,2431,instytucja,739,
762,2431,instytucja,741,
763,133,osoba,740,
765,134,osoba,741,
766,135,osoba,739,
767,2008,instytucja,742,
768,2028,instytucja,743,
769,23990,miejsce,727,
770,477,instytucja,744,
771,23975,miejsce,745,
773,2442,instytucja,747,
774,2038,instytucja,748,
775,2442,instytucja,749,
776,2443,instytucja,747,
777,2443,instytucja,749,
778,2443,instytucja,750,
779,2063,instytucja,751,
780,2444,instytucja,752,
781,2445,instytucja,753,
782,2445,instytucja,754,
783,136,osoba,746,
784,137,osoba,753,
785,138,osoba,754,
786,480,instytucja,755,
787,2027,instytucja,756,
789,2442,instytucja,758,
790,2030,instytucja,759,
791,479,instytucja,760,
792,1998,instytucja,761,
793,2446,instytucja,762,
794,2069,instytucja,763,
795,2037,instytucja,764,
796,2083,instytucja,765,
797,493,instytucja,766,
798,474,instytucja,767,
799,2022,instytucja,768,
800,2065,instytucja,769,
801,1996,instytucja,770,
802,487,instytucja,771,
804,2447,instytucja,772,
805,2091,instytucja,773,
806,2044,instytucja,774,
807,2033,instytucja,775,
809,2448,instytucja,776,
810,2449,instytucja,776,
811,2005,instytucja,778,
812,1985,instytucja,779,
813,478,instytucja,780,
814,23975,miejsce,757,
815,2450,instytucja,782,
817,2261,instytucja,783,
818,2234,instytucja,784,
819,2245,instytucja,785,
822,2451,instytucja,786,
823,140,osoba,782,
824,141,osoba,786,
825,2259,instytucja,787,
826,2236,instytucja,788,
827,2244,instytucja,789,
828,2293,instytucja,790,
829,2242,instytucja,791,
830,2286,instytucja,792,
832,142,osoba,792,
833,2452,instytucja,793,
834,2453,instytucja,794,
835,2273,instytucja,795,
836,2276,instytucja,796,
837,2251,instytucja,797,
838,2240,instytucja,798,
839,2249,instytucja,799,
840,23931,miejsce,781,
841,2235,instytucja,801,
842,2233,instytucja,802,
843,2454,instytucja,803,
846,2293,instytucja,805,
